id,behavior
27,MB_LONG_GRASS
28,MB_LONG_GRASS
29,MB_LONG_GRASS
35,MB_LONG_GRASS
36,MB_LONG_GRASS
37,MB_LONG_GRASS
43,MB_LONG_GRASS
44,MB_LONG_GRASS
45,MB_LONG_GRASS
40,MB_TALL_GRASS
41,MB_TALL_GRASS
42,MB_TALL_GRASS
48,MB_TALL_GRASS
49,MB_TALL_GRASS
50,MB_TALL_GRASS
56,MB_TALL_GRASS
57,MB_TALL_GRASS
58,MB_TALL_GRASS
64,MB_TALL_GRASS
65,MB_TALL_GRASS
66,MB_TALL_GRASS
72,MB_TALL_GRASS
73,MB_TALL_GRASS
74,MB_TALL_GRASS
80,MB_TALL_GRASS
81,MB_TALL_GRASS
82,MB_TALL_GRASS
96,MB_PUDDLE
97,MB_PUDDLE
104,MB_PUDDLE
105,MB_PUDDLE
112,MB_PUDDLE
113,MB_PUDDLE
114,MB_PUDDLE
120,MB_PUDDLE
121,MB_PUDDLE
122,MB_PUDDLE
128,MB_PUDDLE
129,MB_PUDDLE
130,MB_PUDDLE
86,MB_SHALLOW_WATER
87,MB_SHALLOW_WATER
94,MB_SHALLOW_WATER
95,MB_SHALLOW_WATER
145,MB_SAND
160,MB_SAND
161,MB_SAND
162,MB_SAND
168,MB_SAND
169,MB_SAND
170,MB_SAND
176,MB_SAND
177,MB_SAND
178,MB_SAND
131,MB_SHALLOW_WATER
132,MB_SHALLOW_WATER
139,MB_SHALLOW_WATER
140,MB_SHALLOW_WATER
147,MB_OCEAN_WATER
148,MB_OCEAN_WATER
149,MB_OCEAN_WATER
155,MB_OCEAN_WATER
156,MB_SHALLOW_WATER
157,MB_OCEAN_WATER
163,MB_OCEAN_WATER
164,MB_OCEAN_WATER
165,MB_OCEAN_WATER
171,MB_SHALLOW_WATER
172,MB_SHALLOW_WATER
173,MB_SHALLOW_WATER
179,MB_SHALLOW_WATER
180,MB_SHALLOW_WATER
181,MB_SHALLOW_WATER
187,MB_SHALLOW_WATER
188,MB_SHALLOW_WATER
189,MB_SHALLOW_WATER
219,MB_OCEAN_WATER
220,MB_OCEAN_WATER
221,MB_OCEAN_WATER
227,MB_OCEAN_WATER
228,MB_OCEAN_WATER
229,MB_OCEAN_WATER
235,MB_OCEAN_WATER
236,MB_OCEAN_WATER
237,MB_OCEAN_WATER
243,MB_DEEP_WATER
244,MB_DEEP_WATER
246,MB_DEEP_WATER
251,MB_DEEP_WATER
252,MB_DEEP_WATER
253,MB_DEEP_WATER
259,MB_DEEP_WATER
260,MB_DEEP_WATER
261,MB_DEEP_WATER
267,MB_DEEP_WATER
268,MB_DEEP_WATER
269,MB_DEEP_WATER
275,MB_DEEP_WATER
276,MB_DEEP_WATER
277,MB_DEEP_WATER
283,MB_DEEP_WATER
284,MB_DEEP_WATER
285,MB_DEEP_WATER
291,MB_OCEAN_WATER
292,MB_OCEAN_WATER
293,MB_OCEAN_WATER
298,MB_OCEAN_WATER
302,MB_OCEAN_WATER
306,MB_OCEAN_WATER
310,MB_OCEAN_WATER
314,MB_OCEAN_WATER
318,MB_OCEAN_WATER
323,MB_OCEAN_WATER
324,MB_OCEAN_WATER
325,MB_OCEAN_WATER
299,MB_SHALLOW_WATER
300,MB_SHALLOW_WATER
301,MB_SHALLOW_WATER
307,MB_SHALLOW_WATER
309,MB_SHALLOW_WATER
315,MB_SHALLOW_WATER
316,MB_SHALLOW_WATER
317,MB_SHALLOW_WATER
308,MB_SAND
186,MB_SHALLOW_WATER
194,MB_SHALLOW_WATER
200,MB_SHALLOW_WATER
201,MB_SHALLOW_WATER
202,MB_SHALLOW_WATER
208,MB_SHALLOW_WATER
210,MB_SHALLOW_WATER
216,MB_SHALLOW_WATER
217,MB_SHALLOW_WATER
218,MB_SHALLOW_WATER
209,MB_SAND
224,MB_SAND
225,MB_SAND
226,MB_SAND
232,MB_SAND
233,MB_SAND
234,MB_SAND
240,MB_SAND
241,MB_SAND
242,MB_SAND
