id,behavior
39,MB_IMPASSABLE_SOUTH
40,MB_IMPASSABLE_SOUTH
46,MB_IMPASSABLE_SOUTH
47,MB_IMPASSABLE_SOUTH
70,MB_IMPASSABLE_SOUTH
71,MB_IMPASSABLE_SOUTH
84,MB_IMPASSABLE_SOUTH
85,MB_IMPASSABLE_SOUTH
86,MB_IMPASSABLE_SOUTH
87,MB_IMPASSABLE_SOUTH
157,MB_IMPASSABLE_EAST
158,MB_IMPASSABLE_WEST
165,MB_IMPASSABLE_EAST
166,MB_IMPASSABLE_WEST
173,MB_IMPASSABLE_NORTH
174,MB_IMPASSABLE_NORTH
200,MB_IMPASSABLE_EAST
201,MB_IMPASSABLE_WEST
208,MB_IMPASSABLE_EAST
209,MB_IMPASSABLE_WEST
216,MB_IMPASSABLE_NORTH
217,MB_IMPASSABLE_NORTH
232,MB_IMPASSABLE_EAST
233,MB_IMPASSABLE_WEST
240,MB_IMPASSABLE_EAST
241,MB_IMPASSABLE_WEST
248,MB_IMPASSABLE_NORTH
249,MB_IMPASSABLE_NORTH
288,MB_IMPASSABLE_SOUTH
289,MB_IMPASSABLE_SOUTH
290,MB_IMPASSABLE_SOUTH
291,MB_IMPASSABLE_SOUTH
296,MB_IMPASSABLE_EAST
299,MB_IMPASSABLE_WEST
300,MB_IMPASSABLE_EAST
303,MB_IMPASSABLE_WEST
320,MB_IMPASSABLE_EAST
323,MB_IMPASSABLE_WEST
324,MB_IMPASSABLE_EAST
327,MB_IMPASSABLE_WEST
344,MB_IMPASSABLE_EAST
347,MB_IMPASSABLE_WEST
348,MB_IMPASSABLE_EAST
351,MB_IMPASSABLE_WEST
416,MB_IMPASSABLE_WEST
417,MB_IMPASSABLE_WEST
418,MB_IMPASSABLE_WEST
424,MB_IMPASSABLE_WEST
425,MB_IMPASSABLE_WEST
426,MB_IMPASSABLE_WEST
432,MB_IMPASSABLE_NORTH
433,MB_IMPASSABLE_NORTH
434,MB_IMPASSABLE_NORTH
